"Data Source: 2016 Dataset (released March 2018)"
" "
"Facility name","TRI ID","Address","City","County","State","Zip Code","Year","Chemical","CAS","Federal (F) or Commercial (C)","Form Type (Form R or A)","Industry","Fugitive Air","Stack Air","Total Air","Surface Water Discharge","Underground Injection","Land Disposal","Total on-site release","Off-site release","Total on- and off-site releases","Transfer to recycling","Transfer to energy recovery","Transfer to treatment","Transfer to POTWs","Other off-site transfer","Total transfers off-site for waste management","Recycled on-site","Recycled off-site","Energy recovery on-site","Energy recovery off-site","Treated on-site","Treated off-site","Quantity released on- and off-site","Total production-related waste managed","Non production-related waste managed"
"KENNECOTT UTAH COPPER MINE CONCENTRATORS & POWER PLANT","84006KNNCT12300","8362 WEST 10200 SOUTH","BINGHAM CANYON","SALT LAKE","UT","'84006'","1998","MANGANESE COMPOUNDS","'N450'","C","R","NAICS 2122 - Metal Mining","       750.0000000","       250.0000000","      1000.0000000","       260.0000000","          .0000000","    750000.0000000","    784260.0000000","          .0000000","    784260.0000000",".",".",".","          .0000000","          .0000000","          .0000000","          .0000000","             .0000000","          .0000000","          .0000000","          .0000000","          .0000000","    780000.0000000","    780000.0000000","          .0000000"
"KENNECOTT UTAH COPPER MINE CONCENTRATORS & POWER PLANT","84006KNNCT12300","8362 WEST 10200 SOUTH","BINGHAM CANYON","SALT LAKE","UT","'84006'","1998","MERCURY COMPOUNDS","'N458'","C","R","NAICS 2122 - Metal Mining","          .0000000","        36.0000000","        36.0000000","         5.0000000","          .0000000","         5.0000000","        51.0000000","          .0000000","        51.0000000",".",".",".","          .0000000","          .0000000","          .0000000","          .0000000","             .0000000","          .0000000","          .0000000","          .0000000","          .0000000","        50.0000000","        50.0000000","          .0000000"
"KENNECOTT UTAH COPPER MINE CONCENTRATORS & POWER PLANT","84006KNNCT12300","8362 WEST 10200 SOUTH","BINGHAM CANYON","SALT LAKE","UT","'84006'","1998","NICKEL COMPOUNDS","'N495'","C","R","NAICS 2122 - Metal Mining","       250.0000000","       250.0000000","       500.0000000","      2100.0000000","          .0000000","     74000.0000000","    306600.0000000","          .0000000","    306600.0000000",".",".",".","          .0000000","          .0000000","          .0000000","          .0000000","             .0000000","          .0000000","          .0000000","          .0000000","          .0000000","    310000.0000000","    310000.0000000","          .0000000"
"KENNECOTT UTAH COPPER MINE CONCENTRATORS & POWER PLANT","84006KNNCT12300","8362 WEST 10200 SOUTH","BINGHAM CANYON","SALT LAKE","UT","'84006'","1998","SELENIUM COMPOUNDS","'N725'","C","R","NAICS 2122 - Metal Mining","         5.0000000","         5.0000000","        10.0000000","       250.0000000","          .0000000","       750.0000000","      4610.0000000","          .0000000","      4610.0000000",".",".",".","          .0000000","          .0000000","          .0000000","          .0000000","             .0000000","          .0000000","          .0000000","          .0000000","          .0000000","      4600.0000000","      4600.0000000","          .0000000"
"KENNECOTT UTAH COPPER MINE CONCENTRATORS & POWER PLANT","84006KNNCT12300","8362 WEST 10200 SOUTH","BINGHAM CANYON","SALT LAKE","UT","'84006'","1998","SILVER COMPOUNDS","'N740'","C","R","NAICS 2122 - Metal Mining","         5.0000000","         5.0000000","        10.0000000","       250.0000000","          .0000000","       250.0000000","       760.0000000","          .0000000","       760.0000000",".",".",".","          .0000000","          .0000000","          .0000000","          .0000000","             .0000000","          .0000000","          .0000000","          .0000000","          .0000000","       800.0000000","       800.0000000","          .0000000"
"KENNECOTT UTAH COPPER MINE CONCENTRATORS & POWER PLANT","84006KNNCT12300","8362 WEST 10200 SOUTH","BINGHAM CANYON","SALT LAKE","UT","'84006'","1998","SULFURIC ACID (1994 AND AFTER ACID AEROSOLS ONLY)","'007664939'","C","R","NAICS 2122 - Metal Mining","      1100.0000000","          .0000000","      1100.0000000","          .0000000","          .0000000","          .0000000","      1100.0000000",".","      1100.0000000",".",".","          .0000000","          .0000000","          .0000000","          .0000000","          .0000000","             .0000000","          .0000000","          .0000000","          .0000000","          .0000000","      1100.0000000","      1100.0000000","          .0000000"
"KENNECOTT UTAH COPPER MINE CONCENTRATORS & POWER PLANT","84006KNNCT12300","8362 WEST 10200 SOUTH","BINGHAM CANYON","SALT LAKE","UT","'84006'","1998","THALLIUM COMPOUNDS","'N760'","C","R","NAICS 2122 - Metal Mining","         5.0000000","          .0000000","         5.0000000","       250.0000000","          .0000000","      1000.0000000","      2005.0000000","          .0000000","      2005.0000000",".",".",".","          .0000000","          .0000000","          .0000000","          .0000000","             .0000000","          .0000000","          .0000000","          .0000000","          .0000000","      2000.0000000","      2000.0000000","          .0000000"
"KENNECOTT UTAH COPPER MINE CONCENTRATORS & POWER PLANT","84006KNNCT12300","8362 WEST 10200 SOUTH","BINGHAM CANYON","SALT LAKE","UT","'84006'","1998","ZINC COMPOUNDS","'N982'","C","R","NAICS 2122 - Metal Mining","       250.0000000","       250.0000000","       500.0000000","      6210.0000000","          .0000000","    340000.0000000","    347460.0000000","          .0000000","    347460.0000000",".",".",".","          .0000000","          .0000000","          .0000000","          .0000000","             .0000000","          .0000000","          .0000000","          .0000000","          .0000000","    350000.0000000","    350000.0000000","          .0000000"
"KENNECOTT UTAH COPPER MINE CONCENTRATORS & POWER PLANT","84006KNNCT12300","8362 WEST 10200 SOUTH","BINGHAM CANYON","SALT LAKE","UT","'84006'","1999","AMMONIA","'007664417'","C","R","NAICS 2122 - Metal Mining","      4000.0000000","          .0000000","      4000.0000000","          .0000000","          .0000000","         5.0000000","      4005.0000000",".","      4005.0000000",".",".",".","          .0000000","          .0000000","          .0000000","          .0000000","             .0000000","          .0000000","          .0000000","          .0000000","          .0000000","      4000.0000000","      4000.0000000","          .0000000"
"KENNECOTT UTAH COPPER MINE CONCENTRATORS & POWER PLANT","84006KNNCT12300","8362 WEST 10200 SOUTH","BINGHAM CANYON","SALT LAKE","UT","'84006'","1999","ANTIMONY COMPOUNDS","'N010'","C","R","NAICS 2122 - Metal Mining","         5.0000000","       250.0000000","       255.0000000","       250.0000000","          .0000000","    300000.0000000","    301255.0000000",".","    301255.0000000",".",".",".",".","          .0000000","          .0000000","          .0000000","             .0000000","          .0000000","          .0000000","          .0000000","          .0000000","      1300.0000000","      1300.0000000","    300000.0000000"
